filename,cohort,group_id,animal_ch0,cohort_ch0,group_ch0,animal_ch1,cohort_ch1,group_ch1,animal_ch2,cohort_ch2,group_ch2,animal_ch3,cohort_ch3,group_ch3,animal_ch4,cohort_ch4,group_ch4,animal_ch5,cohort_ch5,group_ch5,animal_ch6,cohort_ch6,group_ch6,animal_ch7,cohort_ch7,group_ch7
AD_W2_D4_23072026(10).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(11).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(12).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(13).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(14).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(15).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(16).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(17).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(2).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(3).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(4).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(5).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(6).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(7).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(8).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D4_23072026(9).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W2_D5_24072026(1).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
